Problem name, Success Rate, Avg success time (ms), Success Score, Avg Success Iterations, Best failure score, Avg failure score, Avg Failure Percent of best, Best failure fitness, Avg failure fitness, Avg failure iterations
FLEI,1.0,77.83045888000001,2139.0,212.49,2139.0,2139.0,100.0,0.0,0.0,212.49
HP1,0.94,32.64861954255319,3418.0,129.9468085106383,3405.0,3404.1666666666665,99.59527989077432,0.0038033937975424648,0.004047201092256647,129.9468085106383
HP2,0.74,176.2809390135135,3186.0,617.3918918918919,3168.0,3116.8076923076924,97.82823892993385,0.005649717514124242,0.021717610700661548,617.3918918918919
PB1,0.96,26.323030656250022,3090.0,114.04166666666667,3076.0,3076.0,99.54692556634305,0.0045307443365695255,0.0045307443365695255,114.04166666666667
PB2,0.89,111.60059034831457,3186.0,391.8876404494382,3168.0,3123.818181818182,98.04827940421161,0.005649717514124242,0.019517205957883924,391.8876404494382
PB4,1.0,6.4999544899999995,95168.0,40.73,95168.0,95168.0,100.0,0.0,0.0,40.73
PB5,1.0,33.37655683000002,2139.0,118.8,2139.0,2139.0,100.0,0.0,0.0,118.8
PB6,1.0,59.511405489999994,776.0,109.58,776.0,776.0,100.0,0.0,0.0,109.58
PB7,0.92,240.292284173913,1035.0,231.70652173913044,1034.0,1034.0,99.90338164251207,9.661835748792091E-4,9.661835748792091E-4,231.70652173913044
PET2,1.0,0.58426251,87061.0,1.52,87061.0,87061.0,100.0,0.0,0.0,1.52
PET3,1.0,3.2549261600000006,4015.0,9.59,4015.0,4015.0,100.0,0.0,0.0,9.59
PET4,1.0,9.072483750000002,6120.0,29.96,6120.0,6120.0,100.0,0.0,0.0,29.96
PET5,1.0,22.795015290000006,12400.0,51.03,12400.0,12400.0,100.0,0.0,0.0,51.03
PET6,0.81,67.07083150617284,10618.0,164.80246913580248,10604.0,10601.473684210527,99.8443556621824,0.0013185157280090065,0.0015564433781760528,164.80246913580248
PET7,0.46,337.4900801304348,16537.0,654.8478260869565,16520.0,16466.61111111111,99.57435514973156,0.001027997823063398,0.004256448502684198,654.8478260869565
SENTO1,0.95,376.83643672631587,7772.0,286.61052631578946,7761.0,7761.0,99.85846628924344,0.001415337107565584,0.001415337107565584,286.61052631578946
SENTO2,0.74,521.4697524054053,8722.0,238.36486486486487,8721.0,8711.923076923076,99.88446545428889,1.1465260261411814E-4,0.0011553454571111182,238.36486486486487
WEING1,1.0,7.587416699999996,141278.0,48.59,141278.0,141278.0,100.0,0.0,0.0,48.59
WEING2,1.0,6.981395730000001,130883.0,50.64,130883.0,130883.0,100.0,0.0,0.0,50.64
WEING3,1.0,4.86827402,95677.0,41.97,95677.0,95677.0,100.0,0.0,0.0,41.97
WEING4,1.0,6.915482259999998,119337.0,46.93,119337.0,119337.0,100.0,0.0,0.0,46.93
WEING5,1.0,5.685926740000001,98796.0,47.11,98796.0,98796.0,100.0,0.0,0.0,47.11
WEING6,1.0,7.7695455099999995,130623.0,55.68,130623.0,130623.0,100.0,0.0,0.0,55.68
WEING7,0.6,527.3327097000001,1095445.0,769.2166666666667,1095382.0,1095353.55,99.99165179447623,5.751087457606108E-5,8.348205523780184E-5,769.2166666666667
WEING8,0.68,120.2967892058823,624319.0,485.19117647058823,621086.0,619365.625,99.20659550646384,0.005178442430872732,0.007934044935361609,485.19117647058823
WEISH01,1.0,8.426617389999999,4554.0,38.45,4554.0,4554.0,100.0,0.0,0.0,38.45
WEISH02,1.0,11.169827029999997,4536.0,49.83,4536.0,4536.0,100.0,0.0,0.0,49.83
WEISH03,1.0,8.066716240000003,4115.0,39.98,4115.0,4115.0,100.0,0.0,0.0,39.98
WEISH04,1.0,5.73189856,4561.0,30.53,4561.0,4561.0,100.0,0.0,0.0,30.53
WEISH05,1.0,6.369195480000001,4514.0,33.13,4514.0,4514.0,100.0,0.0,0.0,33.13
WEISH06,1.0,24.982479329999986,5557.0,82.44,5557.0,5557.0,100.0,0.0,0.0,82.44
WEISH07,1.0,22.62825823,5567.0,76.91,5567.0,5567.0,100.0,0.0,0.0,76.91
WEISH08,1.0,23.344330069999984,5605.0,73.72,5605.0,5605.0,100.0,0.0,0.0,73.72
WEISH09,1.0,13.760331779999994,5246.0,56.73,5246.0,5246.0,100.0,0.0,0.0,56.73
WEISH10,1.0,33.77822838,6339.0,107.02,6339.0,6339.0,100.0,0.0,0.0,107.02
WEISH11,1.0,37.48160243,5643.0,140.01,5643.0,5643.0,100.0,0.0,0.0,140.01
WEISH12,1.0,29.516554739999993,6339.0,95.88,6339.0,6339.0,100.0,0.0,0.0,95.88
WEISH13,1.0,30.27254501,6159.0,99.91,6159.0,6159.0,100.0,0.0,0.0,99.91
WEISH14,1.0,78.22443283000001,6954.0,213.41,6954.0,6954.0,100.0,0.0,0.0,213.41
WEISH15,1.0,55.357798980000005,7486.0,152.93,7486.0,7486.0,100.0,0.0,0.0,152.93
WEISH16,1.0,69.28283970000001,7289.0,177.91,7289.0,7289.0,100.0,0.0,0.0,177.91
