Names,DFS,BFS,DFS percent,BFS percent
FLEI,0.1666856,0.093102,100,100
HP1,FALSE,FALSE,98.06904623,98.06904623
HP2,FALSE,FALSE,93.31450094,93.31450094
PB1,FALSE,FALSE,97.86407767,97.86407767
PB2,FALSE,FALSE,98.93283114,98.93283114
PB4,FALSE,FALSE,96.19199731,96.19199731
PB5,0.2242144,0.0930891,100,100
PB6,1.3457885,4.2620807,100,100
PB7,FALSE,FALSE,86.47342995,86.47342995
PET2,0,0,100,100
PET3,FALSE,FALSE,99.750934,99.750934
PET4,FALSE,FALSE,98.52941176,98.52941176
PET5,FALSE,FALSE,99.67741935,99.67741935
PET6,FALSE,FALSE,75.52269731,74.48672066
PET7,FALSE,FALSE,61.57102256,61.57102256
SENTO1,FALSE,FALSE,72.94132784,72.94132784
SENTO2,FALSE,FALSE,92.76542078,92.76542078
WEING1,3.0769465,1.7867107,100,100
WEING2,2.1740818,3.2335963,100,100
WEING3,0.8272921,0.7191886,100,100
WEING4,0.6020766,0.3263123,100,100
WEING5,2.3017042,3.6024493,100,100
WEING6,FALSE,FALSE,99.70143084,99.70143084
WEING7,FALSE,FALSE,96.20720347,96.20720347
WEING8,FALSE,FALSE,77.36093247,77.36093247
WEISH01,FALSE,FALSE,93.47826087,93.47826087
WEISH02,FALSE,FALSE,92.98941799,92.98941799
WEISH03,FALSE,FALSE,92.490887,92.490887
WEISH04,FALSE,FALSE,93.29094497,93.29094497
WEISH05,FALSE,FALSE,92.68941072,92.68941072
WEISH06,FALSE,FALSE,93.64765161,93.64765161
WEISH07,FALSE,FALSE,93.87461829,93.87461829
WEISH08,FALSE,FALSE,92.84567351,92.84567351
WEISH09,FALSE,FALSE,93.13762867,93.13762867
WEISH10,FALSE,FALSE,89.68291529,89.68291529
WEISH11,FALSE,FALSE,93.07106149,93.07106149
WEISH12,FALSE,FALSE,91.33932797,89.08345165
WEISH13,FALSE,FALSE,94.25231369,94.25231369
WEISH14,FALSE,FALSE,87.53235548,87.53235548
WEISH15,FALSE,FALSE,74.04488378,74.04488378
WEISH16,FALSE,FALSE,79.16037865,79.16037865
WEISH17,FALSE,FALSE,87.4551141,87.68678327
WEISH18,FALSE,FALSE,79.12317328,78.30897704
WEISH19,FALSE,FALSE,75.98077423,75.98077423
WEISH20,FALSE,FALSE,76.6031746,75.92592593
WEISH21,FALSE,FALSE,74.6969363,74.6969363
WEISH22,FALSE,FALSE,69.21873254,73.29831228
WEISH23,FALSE,FALSE,72.8906999,72.8906999
WEISH24,FALSE,FALSE,77.70058708,77.70058708
WEISH25,FALSE,FALSE,73.85048798,73.85048798
WEISH26,FALSE,FALSE,70.53422371,70.53422371
WEISH27,FALSE,FALSE,68.08228944,71.45330482
WEISH28,FALSE,FALSE,70.6068268,66.50863885
WEISH29,FALSE,FALSE,70.11689692,73.4218916
WEISH30,FALSE,FALSE,66.52667322,69.43972835
